Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Winter Season,Pre-Monsoon Season,Monsoon Season,Post-Monsoon Season
,,,,,,,,,,,,,,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1999,18.4,11.8,10.8,19.2,92.1,170.8,266.1,221.9,186.8,116.8,20,3.8,1138.4,30.2,122,845.6,140.6
2000,18.9,28.1,18.7,35.5,72.3,185.2,268.6,225.4,135.8,41.5,14.9,9.6,1054.5,47.1,126.6,815,65.9
2001,7.2,10.2,21.1,45.5,61.8,215.2,280.1,205.7,109.5,97.6,18.7,6.1,1078.7,17.4,128.4,810.4,122.4
2002,17.2,20.8,22.3,39.1,58,169.1,138.5,243.6,136,58,16.2,4.9,923.7,38.1,119.4,687.1,79.1
2003,7.4,40.8,34.6,34,37.9,164.6,303.7,248.3,180.3,91.5,10.7,16,1169.6,48.2,106.5,896.8,118.1
2004,24.9,10,12.1,50.7,75.6,166.3,242.7,252.8,123.3,92,16.4,6,1072.9,34.9,138.4,785.1,114.4
2005,31.5,45,42.3,38.3,49.1,145.8,333.4,191.2,201.4,97.3,26.7,11.4,1213.5,76.5,129.7,871.8,135.5
2006,16.6,11,35.2,32.1,79.6,151,288,288.2,170.7,52.4,33.2,12.3,1170.6,27.7,147,898,97.9
2007,2.3,35.7,34.3,34,49.5,199.9,294.3,259.1,213.3,55.9,14.6,15.8,1208.6,37.9,117.8,966.6,86.3
2008,22.2,19,38.1,32.5,45.3,210.5,254.2,265.6,166.8,51.5,25.6,10.6,1141.8,41.2,115.9,897.1,87.6
2009,11.5,12.5,13.9,25.6,56.4,87.5,285.7,193.5,142.4,71,54.7,11.2,966.1,24,95.9,709.2,136.9
2010,7.2,15.4,18.1,45.3,73.1,141.3,299.1,273.3,197.9,69.1,57.2,23.3,1220.3,22.6,136.4,911.6,149.6
2011,7.5,25.8,24,42.9,53.2,183.1,247.8,288.7,191.5,38.5,20.7,7.9,1131.6,33.3,120.1,911.1,67.1
2012,27.3,12.6,12.7,50.2,33.3,120.8,255.2,264.4,196.7,59.4,29.7,11.5,1073.9,39.9,96.3,837.1,100.6
2013,11.5,39.3,16.2,32.9,61.5,220.7,310.3,258.6,153.8,126.8,14.2,6.9,1252.6,50.8,110.6,943.4,147.9
2014,19.5,27.3,37.7,23.7,75.2,93,265.5,233.7,189.6,61.9,16,12.8,1055.8,46.8,136.5,781.8,90.7
2015,16.8,22.7,61.7,69.8,54.1,188.4,240.1,199.8,129.9,41.3,39.6,15.9,1080.2,39.5,185.6,758.2,96.8
2016,7.8,10.2,30.9,31.2,67.7,147.6,308.4,239.7,169.8,54.8,7.4,8.1,1083.6,18,129.8,865.5,70.4
2017,27,12.5,29.3,44.1,55.6,172.7,290.3,229.5,153.2,81.6,14.4,16.3,1126.4,39.5,128.9,845.7,112.3
2018,2.9,12.8,16.6,39.4,58.5,156.3,274.2,241,132.5,35.9,21.1,14.7,1005.9,15.7,114.5,804,71.7
2019,18.6,33.4,19,31.4,51.7,113.6,297,299.9,260.2,110.3,31.7,19,1286,52,102.2,970.8,161.1
2020,28.3,12.1,44.5,42.6,71.6,195.8,257.1,328.2,178.2,78.8,29.2,16.9,1283.3,40.4,158.6,959.3,125
2021,20.2,7.7,17.1,31.5,107.5,182.3,266.3,194.3,229.3,100.3,56.7,20.4,1233.7,28,156,872.3,177.4
2022,39.5,19.1,8.9,38.2,83.2,152.2,327.2,264,181.4,111.8,18.6,13.6,1257,58.5,130.2,924.8,144.1
2023,14.8,7.5,37.6,42.3,67.9,152.9,316.5,162.9,189.9,50.6,34.7,25.5,1102.8,22.4,147.9,821.6,110.7
2024,7.2,19.7,28.6,32.1,66.5,147.3,304.6,293.5,187.7,75.9,13.4,27.6,1206.6,26.9,126.7,935.9,117.3
